col1 col2 col3 col4 col5
COJ3_dX50_P 151.074454 0.000753 13000000.0 0.0
COJ4_dX50_R 151.036485 0.00113 10000000.0 0.0
COJ4_dX50_Q 151.066783 0.00202 10000000.0 0.0
COJ4_dX50_P 151.091169 0.000784 10000000.0 0.0
COJ5_AX00_R 154.431235 0.004847 100000000.0 0.0
COJ5_AX00_Q 154.476096 0.007753 100000000.0 0.0
COJ5_AX00_P 154.514298 0.002846 100000000.0 0.0
COJ5_AX10_R 150.965592 0.009969 96000000.0 0.0
COJ5_AX10_Q 151.008008 0.01535 96000000.0 0.0
COJ5_AX10_P 151.043261 0.005458 96000000.0 0.0
COJ5_AX20_R 147.746449 0.01321 103000000.0 0.0
COJ5_AX20_Q 147.787294 0.02075 103000000.0 0.0
COJ5_AX20_P 147.821273 0.007547 103000000.0 0.0
COJ5_AX30_R 144.727595 0.01162 104000000.0 0.0
COJ5_AX30_Q 144.766165 0.01826 104000000.0 0.0
COJ5_AX30_P 144.798308 0.006639 104000000.0 0.0
COJ5_AX40_R 141.899625 0.007977 106000000.0 0.0
COJ5_AX40_Q 141.935858 0.01249 106000000.0 0.0
COJ5_AX40_P 141.966277 0.004519 106000000.0 0.0
COJ5_AX60_R 136.761544 0.002902 110000000.0 0.0
COJ5_AX60_Q 136.79404 0.004682 110000000.0 0.0
COJ5_AX60_P 136.821216 0.001716 110000000.0 0.0
COJ5_AX70_R 134.418756 0.001704 112000000.0 0.0
COJ5_AX70_Q 134.449985 0.002677 112000000.0 0.0
COJ5_AX70_P 134.476003 0.0009735 112000000.0 0.0
COJ5_AX80_R 132.217069 0.0008387 112000000.0 0.0
COJ5_AX80_Q 132.246724 0.001318 112000000.0 0.0
COJ5_AX80_P 132.271423 0.0004793 112000000.0 0.0
COJ5_dX50_R 151.044207 0.000876 9000000.0 0.0
COJ5_dX50_Q 151.080354 0.00169 9000000.0 0.0
COJ5_dX50_P 151.110612 0.000736 9000000.0 0.0
